margin,coverage,precision,recall
0.0,1.0,0.3333333333333333,0.02631578947368421
0.01,1.0,0.3333333333333333,0.02631578947368421
0.02,1.0,0.3333333333333333,0.02631578947368421
0.03,1.0,0.3333333333333333,0.02631578947368421
0.04,1.0,0.3333333333333333,0.02631578947368421
0.05,1.0,0.3333333333333333,0.02631578947368421
0.06,1.0,0.3333333333333333,0.02631578947368421
0.07,1.0,0.3333333333333333,0.02631578947368421
0.08,1.0,0.3333333333333333,0.02631578947368421
0.09,1.0,0.3333333333333333,0.02631578947368421
0.1,1.0,0.3333333333333333,0.02631578947368421
0.11,1.0,0.3333333333333333,0.02631578947368421
0.12,1.0,0.3333333333333333,0.02631578947368421
0.13,1.0,0.3333333333333333,0.02631578947368421
0.14,1.0,0.3333333333333333,0.02631578947368421
0.15,1.0,0.3333333333333333,0.02631578947368421
0.16,1.0,0.3333333333333333,0.02631578947368421
0.17,1.0,0.3333333333333333,0.02631578947368421
0.18,1.0,0.3333333333333333,0.02631578947368421
0.19,1.0,0.3333333333333333,0.02631578947368421
0.2,1.0,0.3333333333333333,0.02631578947368421
0.21,1.0,0.3333333333333333,0.02631578947368421
0.22,1.0,0.3333333333333333,0.02631578947368421
0.23,0.9778357235984355,0.3333333333333333,0.02857142857142857
0.24,0.9752281616688396,0.3333333333333333,0.029411764705882353
0.25,0.9752281616688396,0.3333333333333333,0.029411764705882353
0.26,0.9752281616688396,0.3333333333333333,0.029411764705882353
0.27,0.9752281616688396,0.3333333333333333,0.029411764705882353
0.28,0.9752281616688396,0.3333333333333333,0.029411764705882353
0.29,0.9752281616688396,0.3333333333333333,0.029411764705882353
0.3,0.9752281616688396,0.3333333333333333,0.029411764705882353
0.31,0.9634941329856584,0.3333333333333333,0.03125
0.32,0.9621903520208605,0.0,0.0
0.33,0.9621903520208605,0.0,0.0
0.34,0.864406779661017,0.0,0.0
0.35000000000000003,0.864406779661017,0.0,0.0
0.36,0.864406779661017,0.0,0.0
0.37,0.864406779661017,0.0,0.0
0.38,0.864406779661017,0.0,0.0
0.39,0.864406779661017,0.0,0.0
0.4,0.864406779661017,0.0,0.0
0.41000000000000003,0.864406779661017,0.0,0.0
0.42,0.864406779661017,0.0,0.0
0.43,0.864406779661017,0.0,0.0
0.44,0.636245110821382,0.0,0.0
0.45,0.636245110821382,0.0,0.0
